id,symbol,symbolName,slug,bscContract
9362,SAFT,Sage Finance,sage-finance,0xd4ed4a27ff7eae121c487d841e530cd0da65c6b5
9366,BRUH,BruhBucks,bruhbucks,0xe95748df47e3ed06f545735bdedc63331c520c6d
9374,MYC,Myteamcoin,myteamcoin,0x6180D382913e0585062336e5FD5E85cEc5ac6C78
9376,BB,BlackBerry Token,blackberry-token,0x86bbc9838c3370e0fd570b4ee8087f5aca299977
9382,AP3,AP3.town,ap3-town,0xe459c0b11c62e3fD83da52537BD6191B56aB1b5A
9401,ANO,Arrano,arrano,0x9dd8d52629bf35b290dff525c8ef8a81c543125a
9419,CPTB,Crypto Puzzles BSC,crypto-puzzles,0xe0bdfe2ce51f44556309665d59818ccb541ff067
9439,CNR,Cornerchain,cornerchain,0x563e01e6631104ff4d1550670cc671d88a80f8e3
9448,SAFEORBIT,SafeOrbit,safeorbit,0x0da292e241096140ce2b3d39e5699acc2eca68fa
9463,ORFANO,Orfano,orfano,0xEF2ec90e0b8D4CdFdB090989EA1Bc663F0D680BF
9464,BBOTS,ASISWAP,asiswap,0xc324b6b341eaaaf73cf9f436a54b65ccfcaf9c49
9483,LQF,Liquifi,liquifi,0xeEE23F020e7e4D2D9392300D32eaAbEf3dD7B97c
9497,APE,Wall Street Apes,wall-street-apes,0x82bbd3dbae09eba3f3b1ea48d0a469140ed9dfb5
9498,NRCH,EnreachDAO,enreachdao,0x69fa8e7f6bf1ca1fb0de61e1366f7412b827cc51
9500,SATO,Super Algorithmic Token,super-algorithmic-token,0xF6E6892325a74383A70570F1EBea9A476483a611
9513,PNST,Patron Saint,patron-saint,0x21ff1d43d285a99c760226b0adb8471c999ac815
9517,SWIN,Swinate,swinate,0x8592fb0e6724a90ce45f05f31b85bddd45931560
9521,PEACH,Peaches,peaches,0x5CeD26185f82B07E1516d0B013c54CcBD252A4Ad
9529,2GOSHI,2GoShi,2goshi,0x70e132641d6f1bd787b119a289fee544fbb2f316
9555,RUGBID,RUG BIDEN,rug-biden,0x7f84a94ba46ccdc78325d0484f62451f3e4b8076
9557,ROUL,Roul Token,roul-token,0x712661a1976992a8f8c82fe74ba4e81a82de1f32
9558,RASTA,Rasta Finance,rasta-finance,0xe3e8cc42da487d1116d26687856e9fb684817c52
9570,RECH,ReChain.Finance,rechain-finance,0xf4db3dd2046d05d81980be2e65ea325597f0743b
9600,SBYTE,Securabyte Protocol,securabyte-protocol,0x0Fe3e956D2034BCEF01FbA8A2BfCA389cdb72699
9603,INFINITY,Infinity Protocol,infinity-protocol,0xF27A589281e1B933E122dFe306EbfD02B061850F
9614,ALGOP,AlgoPainter,algopainter,0xbee554dbbc677eb9fb711f5e939a2f2302598c75
9619,SEA,SEA Token,sea-token,0xfb52fc1f90dd2b070b9cf7ad68ac3d68905643fa
9634,420X,420x,420x,0xc4b790e1d5f0c3d8aa526f0a8098ed2a1ff0886a
9645,ECHO,Token Echo,token-echo,0xb646EB2146e770bF1c675C54969C7830A57A88E9
9652,SAFEPLUTO,SAFEPLUTO69,safepluto69,0xf40153fb3f5db22f6843fc63835a3a870ed846d3
9658,SBT,Snowball,snowball,0x23dE6D136ae765f256619c57201FF57C25ACB565
9668,CARBO,CarbonDEFI Finance,carbondefi-finance,0xb05139b021aaea472b94528b030844d84a6724d5
9687,SAFELOGIC,Safelogic,safelogic,0x7731CC7c8c3802eB3D3575F481e39865c0E92C91
9695,BEER,Beer Token,beer-token,0xd5a0dad4e6f399cdc346ff04fd90ec0b511fcef9
9696,CANDY,Rare Candy,rare-candy,0x1963e04a845213d005cdf0e22a39f85bd5941390
9703,SHIBM,ShibaMoon,shibamoon,0x954be3e377661a2b01841e487ca294c4204dbb79
9706,GOAT,ZuckGoat,zuckgoat,0x72d20164569Cc77fd4d056319C9Afd36A9b0bFA3
9714,SAFECOOKIE,SAFECOOKIE,safecookie,0xdc555f1d9a66d4934687c8469888b736c65b4bf8
9717,TACOCAT,TacoCat,tacocat,0xA8fcEe78B782eF97380326E90DF80D72f025f020
9726,WINB,Winner Coin,winner-coin,0x74b5656cdfc26badb6b76d820565707347911071
9728,NCC,NoCapCoin,nocapcoin,0x93dfc1e09b7164bafd4860963b6d94cbc4284774
9743,SPERM,SPERM Finance,sperm-finance,0x473426A0C55f0A7Aee06b553EDC33bfD7B252C91
9744,AURO,Aurora Finance,aurora-finance,0xf6530899de1daae4388e1286eba6379d7ddf9c8f
9745,VTUBE,VTube Token,vtube-token,0x25dfE3386525465802AF6Bfe499ded48017155ad
9777,JBP,JBPROTOCOL,jbprotocol,0x1ba292a599F9C4F5618616c14bA38daec29e7E08
9782,BTDMD,BitDiamond,bitdiamond,0x669288ada63ed65eb3770f1c9eeb8956dedaaa47
9787,SMARTWORTH,SMARTWORTH,smartworth,0xd50787a5f21bcc10c1a738e7de33001786c5fc24
9791,DIO,Deimos Token,deimos-token,0xb80a8edd3730d82a941a1cdd7547e843fd5ca65c
9801,CELES,Celestial Finance,celestial-finance,0x02914c7d3fe7af0d5506c338074b042ac00a327a
9803,CHANGE,Change Our World,changeourworld,0x6E1b4BA8F5bE7708cD475795FC23924eD078A8d2
9806,ANA,Anamnesis,anamnesis,0x1c519DbAF073342445cf546F8BaEA76c78a2f146
9814,UNA,UNA,una,0x7AA509D7761e35bf43B6AeB144480A19d0FEb851
9818,HBX,Habits,habits,0x7b720b04f238a4f8d84f7bbb4b6fe3da01e6d344
9826,TRL,Trillion,trillion,0x7c9417825d04c798a0e32578125e83639bc343a6
9836,GOATM,GoatmoonSwap,goatmoonswap,0x909427ba0647644936a5fc92f55ca26d2212cbab
9845,SFN,Strains Finance,strains-finance,0xdca8a5bb74ec9536d13511c51f6a68821bf6a1a6
9847,ALM,Allium,allium,0x7ac8A920CF1F7E7CC4f698c9C5cBC1E26F604790
9851,GARUDA,GarudaSwap,garudaswap,0x854086dC841e1bfae50Cb615bF41f55BF432a90b
9874,SFOX,Starfox Token,starfox-token,0xb34f1dca7943ad97cdfb481a4088c656584059f2
9875,$BOOLISH,BOOLISH TOKEN,boolish-token,0x08c9aa1e4fc83cdf1f2c0cb120c8e28f0da5c8e5
9881,MONKI,MONKI NETWORK,monki-network,0xb813939458aa42ca57b870bef4bec24945adda6d
9883,BELAXI,Bela Token,bela-token,0x1cb3fefd70d5a047a956ad9521928fbb12eb853d
9885,ARIGATO,Arigato,arigato,0x5cfec8ac17d7f4489942e5e3264b233d8e69aefc
9890,GINU,Green Shiba Inu (old),green-shiba-inu,0x6702e449243e5b8c59CEB29A4772e6d1D9fa7727
9895,SAFEMUSK,SafeMusk,safemusk,0x7aa0f568a5cc0b5395694cb5ad8c9423f8c41a80
9900,HODL,HODL,hodl,0x0E3EAF83Ea93Abe756690C62c72284943b96a6Bc
9912,LT,Liberty,liberty,0xdaab685f5419149b91a8519b30652b820692824a
9913,RAFF,Rafflection,rafflection,0x683b98716c1bde0d7de9362ec304e7f81a6c68ab
9916,WILD,Wild Ride,wild-ride,0x4f0e7a273c7ff13062fa581bee4ffabdae94328f
9919,GLV,Glovytoken,glovytoken,0x6e0855a267f38849f2a31c9907dde5ed852d98ed
9922,POOROCKET,POOROCKET,poorocket,0x2ed990dce85f30951d1bc26676ed0a5fcbdc12d2
9923,TEX,TerrierX,terrierx,0x8b7D37f3084Bf4a3Df77F7F97764e9fdcf510Ca2
9934,CHAD,CHAD,chad,0x9E1892eD30796FF96aBBb1b6A5e722C6ea9C46eB
9955,ROK,Ragnarok,ragnarok-token,0x1717Cc260bACB7841B37Fed8d06846101b31e5C8
9956,GRILL,Grill.Farm,grill-farm,0x7853401a1095dd0b04edb92366233c37fb511e89
9959,BUN,BUNNY DeFi Financial,bunny-defi-financial,0x5c8111c3bcb0cc02acf50bc8676d4aa1bc017607
9960,UPSHIB,upShib,upshib,0x795D38678D5a3f7Ad80DDED5e27644e9c0352904
9964,GCAT,GingerCat,gingercat,0x5AdDc86A95A85Ec1D7764f0B6dEA6c566161D69c
9965,STEALTY,STEALTH Protocol,stealth-protocol,0x60AF9254e370a86428Ba2045af6cd91984b8545c
9973,BTF,BTFDEX,btfdex,0x64Df6F1BDf3aE5924595B6E608c251306BEf0c0F
9975,NUDEZ,NudezCoin,nudezcoin,0xe60ef2b118c35c987ce28d3b69f84378f2b84b4a
